,Symbol,Low,Open,Price,Volume,High,Change,Date
0,GUARANTY,31.95,34.5,32.5,0,33.35,-2.0,9/11/2018
1,GUARANTY,34.5,35.0,34.5,0,35.0,-0.5,9/10/2018
2,GUARANTY,34.4,34.95,35.0,0,35.3,0.05,9/7/2018
3,GUARANTY,34.95,36.65,34.95,0,36.5,-1.7,9/6/2018
4,GUARANTY,36.65,37.05,36.65,0,36.85,-0.4,9/5/2018
5,GUARANTY,36.5,36.5,37.05,0,37.45,0.55,9/4/2018
6,GUARANTY,36.05,36.0,36.5,0,36.75,0.5,9/3/2018
7,GUARANTY,36.0,38.0,36.0,0,37.85,-2.0,8/31/2018
8,GUARANTY,37.9,39.05,38.0,0,38.0,-1.05,8/30/2018
9,GUARANTY,38.65,39.0,39.05,0,39.05,0.05,8/29/2018
0,GUARANTY,31.95,34.5,32.5,0,33.35,-2.0,9/11/2018
1,GUARANTY,34.5,35.0,34.5,0,35.0,-0.5,9/10/2018
2,GUARANTY,34.4,34.95,35.0,0,35.3,0.05,9/7/2018
3,GUARANTY,34.95,36.65,34.95,0,36.5,-1.7,9/6/2018
4,GUARANTY,36.65,37.05,36.65,0,36.85,-0.4,9/5/2018
5,GUARANTY,36.5,36.5,37.05,0,37.45,0.55,9/4/2018
6,GUARANTY,36.05,36.0,36.5,0,36.75,0.5,9/3/2018
7,GUARANTY,36.0,38.0,36.0,0,37.85,-2.0,8/31/2018
8,GUARANTY,37.9,39.05,38.0,0,38.0,-1.05,8/30/2018
9,GUARANTY,38.65,39.0,39.05,0,39.05,0.05,8/29/2018
0,GUARANTY,38.0,38.0,39.0,0,39.0,1.0,8/28/2018
1,GUARANTY,37.5,37.5,38.0,0,38.0,0.5,8/27/2018
2,GUARANTY,37.5,37.8,37.5,0,37.6,-0.3,8/24/2018
3,GUARANTY,36.9,36.95,37.8,0,37.8,0.85,8/23/2018
4,GUARANTY,36.0,38.0,36.95,0,38.0,-1.05,8/20/2018
5,GUARANTY,38.0,38.05,38.0,0,38.1,-0.05,8/17/2018
6,GUARANTY,38.0,37.75,38.05,0,38.05,0.3,8/16/2018
7,GUARANTY,37.9,38.25,38.05,0,38.25,-0.2,8/15/2018
8,GUARANTY,38.25,38.8,38.25,0,39.0,-0.55,8/14/2018
9,GUARANTY,38.7,39.0,38.8,0,38.8,-0.2,8/13/2018
0,GUARANTY,38.8,39.0,39.0,0,39.0,0.0,8/10/2018
1,GUARANTY,38.6,39.0,39.0,0,39.7,0.0,8/9/2018
2,GUARANTY,39.0,39.15,39.0,0,39.1,-0.15,8/8/2018
3,GUARANTY,39.05,40.0,39.15,0,39.6,-0.85,8/7/2018
4,GUARANTY,39.25,40.05,40.0,0,40.05,-0.05,8/6/2018
5,GUARANTY,40.0,40.15,40.05,0,40.05,-0.1,8/3/2018
6,GUARANTY,39.7,39.9,40.15,0,40.4,0.25,8/2/2018
7,GUARANTY,39.6,40.05,39.9,0,40.05,-0.15,8/1/2018
8,GUARANTY,40.05,40.5,40.05,0,41.0,-0.45,7/31/2018
9,GUARANTY,40.5,39.6,40.5,0,41.0,0.9,7/30/2018
0,GUARANTY,39.1,39.0,39.6,0,39.7,0.6,7/27/2018
1,GUARANTY,38.7,38.8,39.0,0,39.1,0.2,7/26/2018
2,GUARANTY,38.55,39.0,38.8,0,39.0,-0.2,7/25/2018
3,GUARANTY,38.8,38.8,39.0,0,39.0,0.2,7/24/2018
4,GUARANTY,38.35,38.0,38.8,0,38.8,0.8,7/23/2018
5,GUARANTY,38.0,38.0,38.0,0,38.5,0.0,7/20/2018
6,GUARANTY,37.65,36.55,38.0,0,38.0,1.45,7/19/2018
7,GUARANTY,36.55,39.2,36.55,0,39.1,-2.65,7/18/2018
8,GUARANTY,39.0,39.65,39.2,0,39.5,-0.45,7/17/2018
